,0_n,0_p,0_l,1_n,1_p,1_l,2_n,2_p,2_l,3_n,3_p,3_l,4_n,4_p,4_l,5_n,5_p,5_l,6_n,6_p,6_l,7_n,7_p,7_l,8_n,8_p,8_l,9_n,9_p,9_l,10_n,10_p,10_l,11_n,11_p,11_l,12_n,12_p,12_l,13_n,13_p,13_l,14_n,14_p,14_l,15_n,15_p,15_l
0,IGHM,0.0,-36.49786,RP5-887A10.1,0.0,5.8676114,CD74,0.0,-24.144693,CCL5,0.0,32.945908,TYROBP,0.0,26.519571,IGKC,0.0,inf,IGLC2,0.0,inf,EEF1A1,8.748903936642504e-307,-37.241512,HMGN2,4.314344338032728e-300,37.882935,B2M,3.556978140330084e-116,-51.316933,IGHG4,1.3698372769774513e-124,745.3435,FAU,3.208925033568463e-67,-17.153551,PLAC8,3.644917698858414e-55,18.691368,CD74,4.530267773358999e-24,-21.937159,IGHM,1.6190467022319649e-40,inf,CCR7,1.4100760038407856e-20,20.119196
1,SRGN,0.0,-10.578757,VPREB3,3.0313460691068846e-253,2.3979273,CD3D,0.0,6.99917,NKG7,0.0,19.603354,LYZ,0.0,37.051994,IGHA1,0.0,inf,IGLC3,0.0,inf,FTH1,6.194428906420325e-253,-20.061195,TUBB,1.3232106123583125e-299,28.954954,CD79B,4.163597362834794e-114,6.7920713,IGHG1,1.2730830626197318e-123,782.1288,TPT1,4.12365090981736e-67,-21.182022,GZMB,8.58857170592208e-51,42.083992,S100A6,1.2706717802889255e-22,35.089146,IGKC,1.2478301858051259e-33,inf,BIRC3,1.8612345101000073e-20,39.422966
2,TCL1A,0.0,3.5510004,HLA-DRA,1.877775466921179e-246,1.7314911,TRAC,0.0,7.0345125,CD7,0.0,8.831107,FCER1G,0.0,24.830177,JCHAIN,0.0,836.13306,MZB1,0.0,49.937687,FTL,2.9145346069509076e-242,-22.468706,PTMA,9.620778924534366e-295,111.77709,MS4A1,6.087476910516658e-110,7.3997145,IGHG3,7.414715017556068e-123,740.3801,UBA52,1.878530140033165e-65,-12.673983,GPX1,2.11108270014635e-45,11.509881,CD9,3.297135638140109e-20,10.839223,JCHAIN,5.312754318584372e-32,inf,ALDH2,9.709318323912095e-20,10.902891
3,B2M,0.0,-57.1447,BANK1,4.823408255536142e-237,2.7058446,CD2,0.0,6.0457277,GZMA,0.0,12.814861,AIF1,0.0,19.692331,SSR4,0.0,58.923744,SSR4,0.0,68.794395,GNLY,9.918036122556964e-225,23.388538,HMGB1,3.1857596173451905e-294,56.13273,MARCKSL1,2.2893764990544824e-108,7.384141,IGKC,3.568095383436443e-115,inf,TMSB4X,7.379025146327869e-65,-85.18794,LILRA4,7.055308212892967e-45,12.228136,TXN,1.5842955031964624e-16,11.163329,SPCS2,2.0848693325942596e-28,8.265411,TXN,1.0049714149101302e-19,54.44991
4,HLA-C,0.0,-7.9323735,CXCR4,7.32433207005675e-232,5.418134,HLA-DRA,0.0,-24.60839,CCL4,0.0,18.519928,CST3,0.0,35.549614,MZB1,0.0,37.718613,JCHAIN,0.0,852.00165,CCL5,1.3295031055215287e-213,10.409289,H2AFZ,7.297604477746175e-285,36.310696,TCL1A,1.3324809348708798e-88,6.433338,XBP1,3.200386281228658e-100,26.361769,EEF1A1,7.128253706079032e-63,-39.682648,IRF7,1.1259203562989232e-44,8.046703,LGALS3,8.266985069101337e-15,12.177879,SSR4,8.476964699999186e-28,47.61592,MALAT1,1.3602060304235855e-19,inf
5,NEAT1,0.0,-8.495764,CD74,1.3589767500826608e-229,5.253713,IL32,0.0,8.115433,KLRD1,0.0,6.848043,FTH1,0.0,123.027756,DERL3,0.0,14.607664,DERL3,0.0,19.922462,B2M,5.00393992232262e-207,-53.18128,TUBA1B,9.790507611836833e-284,47.00974,RGS13,2.21078545024143e-86,5.1734796,MZB1,1.4756456020434788e-97,37.805016,RACK1,2.158765095632029e-61,-11.686573,ALOX5AP,4.989358888240095e-44,11.20206,HLA-DPB1,9.343546484633846e-15,-9.23457,DERL3,8.66340689345617e-27,8.052964,RAB9A,1.9520111717583753e-19,8.71462
6,IGHD,0.0,5.5233245,CD37,1.7948314734053758e-225,2.5906696,IL7R,0.0,6.273067,IL32,0.0,13.017136,SAT1,0.0,34.315086,IGHA2,0.0,889.1934,FKBP2,0.0,10.978241,GZMB,2.6364502538116306e-197,7.0026646,HMGB2,2.891509360312024e-280,35.21706,ACTG1,1.3514194022890906e-82,14.296353,SSR4,1.6746668749361327e-96,57.72948,PTMA,1.510822886017238e-60,-19.928177,CXCR3,6.131734649133282e-43,6.7829,FTH1,1.480021960615793e-14,50.45637,SEC61B,1.001846668578512e-26,9.104097,TMSB10,1.9860920699259486e-19,151.30336
7,GAPDH,0.0,-11.526756,LTB,6.95661685413535e-210,2.2929952,CD79A,0.0,-9.087095,HCST,0.0,5.891833,S100A11,0.0,19.192924,SEC11C,0.0,11.43723,IGHA1,0.0,inf,FAU,9.323950418451364e-191,-11.218544,GAPDH,3.206831138994942e-279,66.42417,HLA-A,2.26150315123529e-82,-7.218372,PRDX4,1.022377043225694e-90,9.847585,PFDN5,2.56739835799941e-60,-9.164723,TSPAN13,1.1701425380230264e-42,7.905867,ISG20,4.9961230234555694e-14,-6.1482153,MZB1,1.2297305975583345e-26,24.018488,LAMP3,2.5159639910192353e-19,16.307428
8,HLA-B,0.0,-10.783059,MS4A1,4.429787023805751e-204,1.8244472,CD3E,0.0,3.611,GZMB,0.0,16.03271,FTL,0.0,113.203445,FKBP2,0.0,8.7723,SEC11C,0.0,14.748014,PRF1,5.502116077264236e-189,5.21142,STMN1,1.1480225512346373e-276,28.227055,LIMD2,1.3463221379803363e-77,4.3262706,SEC11C,3.8761990120740166e-86,9.913027,NACA,1.5423609806144832e-59,-10.308751,TYROBP,1.1994826655200969e-41,8.872727,CXCR4,5.798332696365835e-14,-4.5018525,PRDX4,4.7948202415443655e-26,6.4626875,FSCN1,2.731241472776576e-19,19.236946
9,VIM,0.0,-7.2148457,SRGN,5.643305012026468e-191,-7.242402,HLA-DRB1,0.0,-8.884198,CST7,0.0,6.0165706,TIMP1,0.0,33.688072,XBP1,0.0,16.440104,XBP1,0.0,20.696564,NKG7,2.3339731116516656e-182,4.618616,HMGN1,3.91294138345378e-274,20.646324,BASP1,1.8608293740144016e-73,3.7481236,DERL3,8.351203384278413e-85,10.849212,EEF1D,1.498573905034989e-57,-8.524181,CLN8,3.0241315185950827e-41,8.088962,HLA-DPA1,5.954618637174779e-14,-8.361823,SEC11C,9.079162779067292e-26,9.515794,PNRC1,4.0584452765148947e-19,10.268042
10,ATP5E,0.0,-5.770479,TMSB10,3.4207734104758986e-184,-12.86355,HLA-DPA1,0.0,-9.112242,ID2,0.0,5.8861637,LST1,0.0,11.223343,SSR3,0.0,7.357259,HSP90B1,0.0,23.048908,NACA,3.85037395450824e-177,-6.7504687,ACTG1,1.1353585395668936e-273,46.934414,TXNIP,6.945768827329797e-73,-4.7374067,FKBP2,3.1199797307563807e-83,6.7864532,TMSB10,1.3066209011943383e-56,-17.917038,TXN,3.253798983909805e-41,20.541983,CD79A,5.945240770654202e-13,-7.479689,XBP1,4.385641286487799e-25,15.056331,CSF2RA,4.2128999938465825e-19,16.448877
11,MS4A1,0.0,2.267706,SMIM14,6.770132854294777e-176,2.213308,HLA-DPB1,0.0,-8.805892,HOPX,0.0,6.063835,S100A6,0.0,21.019678,TNFRSF17,0.0,7.92138,HERPUD1,0.0,28.65408,EEF1B2,3.869177812408212e-176,-6.4792633,ANP32B,7.834919118858943e-271,14.427441,LRMP,1.7155967046309677e-67,3.5853488,HERPUD1,2.4892578886547426e-80,18.042465,FTL,1.3785471993677273e-55,-23.60163,PPP1R14B,7.736570434830018e-41,7.77461,KRT18,6.342358913704402e-13,20.91645,HERPUD1,6.074008768855511e-25,18.184439,HLA-DPA1,1.5449887889544326e-18,56.254074
12,MYL6,0.0,-6.4339905,MYL6,8.95876948723734e-167,-5.0320034,KLRB1,0.0,8.119703,PRF1,0.0,5.5397,PSAP,0.0,12.853499,HERPUD1,0.0,20.537294,PRDX4,0.0,10.093236,BTF3,1.8827795982392158e-165,-5.1327357,PFN1,1.9902697293002205e-269,41.96055,VPREB3,2.048703551817804e-67,4.33748,IGHG2,3.010764729448472e-79,206.99934,EEF1B2,8.558580704802872e-55,-9.888849,CD74,1.5203277144881977e-40,48.615643,HLA-DRB1,2.624787204052584e-12,-7.497228,SSR3,2.6990060050471608e-24,6.2601924,HLA-DRA,1.7959128728207173e-18,178.29047
13,SERF2,0.0,-7.3013186,CD24,6.05144257367677e-159,2.7686145,IGKC,0.0,-inf,CTSW,0.0,6.151989,S100A10,0.0,13.184269,SPCS1,0.0,9.03022,SSR3,0.0,8.139465,NPM1,2.9948210389969554e-160,-5.1288548,CFL1,1.4338115755485642e-268,33.04188,DUSP1,8.40434644239585e-66,-6.957144,ITM2C,3.4063726092883714e-79,8.264533,SERF2,3.0412197664209968e-52,-10.057335,CTSB,1.7674271230285284e-40,7.1096106,HLA-DRA,1.787483327011218e-11,-19.229176,FKBP2,6.86015367886132e-24,6.861755,CD74,1.9470234917537556e-18,149.79396
14,HLA-DRA,0.0,0.43504304,ARHGAP24,2.1916178764031338e-153,2.7209122,CD3G,2.593678751539522e-297,3.6238675,GNLY,1.7332461077322534e-300,22.984907,CTSS,0.0,10.956966,SPCS2,0.0,8.18964,FKBP11,0.0,7.4575152,EIF1,1.1612574117309417e-156,-8.920475,H2AFV,2.775169638336744e-268,14.565461,HMGN1,1.1759409071481027e-65,4.7428584,SSR3,8.353583068048536e-75,5.462932,EIF1,5.35038144465701e-51,-11.291549,SEC61B,2.0259183889580772e-40,13.7135,CD37,2.17386898899121e-11,-3.5292857,SPCS1,9.037927729494958e-24,8.002337,HLA-DPB1,2.7580384858105593e-18,74.48376
