cell_type,BC_1,BC_2,BC_3,BC_4,BC_5,BC_6,BC_7,BC_8,LIV1_1,LIV1_10,LIV1_11,LIV1_12,LIV1_13,LIV1_14,LIV1_15,LIV1_16,LIV1_17,LIV1_18,LIV1_19,LIV1_2,LIV1_3,LIV1_4,LIV1_6,LIV1_7,LIV1_8,LIV1_9,LIV2_1,LIV2_10,LIV2_11,LIV2_2,LIV2_3,LIV2_4,LIV2_5,LIV2_6,LIV2_7,LIV2_8,LIV2_9,LUN1,LUN2,MCO_1,MCO_2,MEL1_1,MEL1_10,MEL1_11,MEL1_12,MEL1_13,MEL1_14,MEL1_15,MEL1_16,MEL1_17,MEL1_18,MEL1_19,MEL1_2,MEL1_20,MEL1_21,MEL1_22,MEL1_23,MEL1_24,MEL1_25,MEL1_26,MEL1_27,MEL1_28,MEL1_29,MEL1_3,MEL1_4,MEL1_5,MEL1_6,MEL1_7,MEL1_8,MEL1_9,MEL2_1,MEL2_10,MEL2_11,MEL2_12,MEL2_13,MEL2_14,MEL2_15,MEL2_16,MEL2_17,MEL2_18,MEL2_19,MEL2_2,MEL2_20,MEL2_21,MEL2_22,MEL2_23,MEL2_3,MEL2_4,MEL2_5,MEL2_6,MEL2_7,MEL2_8,MEL2_9,MEN_1,MEN_2,MEN_3,MLU_1,MLU_2,MLU_3,MLU_4,MLU_5,MLU_6,MRE_1,MRE_2,MRE_3,OV_1,OV_2,OV_3,OV_4,PAN_1,PAN_10,PAN_11,PAN_12,PAN_13,PAN_14,PAN_15,PAN_16,PAN_17,PAN_18,PAN_19,PAN_2,PAN_20,PAN_21,PAN_22,PAN_23,PAN_24,PAN_3,PAN_4,PAN_5,PAN_6,PAN_7,PAN_8,PAN_9,SC001,SC019,SC021,SC024,SC027,SC028,SC029,SC030,SC031,SC035,SC040,SC041,SC_1,SC_11,SC_12,SC_13,SC_14,SC_15,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,SMC10,SMC11,SMC14,SMC15,SMC16,SMC17,SMC18,SMC19,SMC20,SMC21,SMC22,SMC24,SMC25,UM_11,UM_2,UM_3,UM_4,UM_5,UM_6,UM_7,UM_8,UM_9
B cells,278,35,98,147,434,111,138,6,3,30,1,0,150,0,0,0,0,0,0,0,0,0,3,12,7,6,16,43,19,56,110,183,57,3,0,13,4,102,173,700,1387,31,118,19,9,9,28,160,104,18,27,1,9,13,16,0,189,0,4,11,2,61,106,13,233,62,17,156,1,2,659,100,261,123,162,26,4,1,293,96,1,221,0,0,0,4,168,22,59,51,54,109,38,182,91,11,1,2,4,0,1696,355,50,173,1660,0,3,1,4,15,100,2,201,7,2,135,6,3,1,2,1056,0,25,181,94,1,17,74,1,9,2,10,0,1,105,19,532,260,5,180,7,27,237,424,80,5562,0,5,0,0,0,2,8,22,157,49,13,46,0,6,62,36,273,8,11,34,232,23,26,4,75,135,0,12,14,3,7,0,3,1,8
Cytotoxic CD8 T cells,177,852,100,1486,611,344,519,113,45,39,20,19,70,17,22,20,0,0,5,6,2,3,112,11,10,1,33,22,47,163,549,565,274,8,7,30,33,1837,5,857,160,73,82,77,38,76,6,45,1,93,33,114,79,149,57,27,1,84,158,20,2,58,5,77,101,303,26,74,49,193,424,768,43,196,236,232,1,40,198,75,24,363,0,83,0,124,249,66,33,63,51,355,432,1624,503,1495,755,2245,1097,42,306,505,1018,2092,153,11,50,29,5,5,26,21,50,6,2,5,0,0,0,12,95,1,6,104,41,24,23,45,5,2,4,1,0,136,40,18,89,61,1,0,0,109,516,1145,19,1058,660,3465,407,601,1098,29,15,73,466,602,69,402,343,2,15,13,0,3,3,2,3,0,1,5,5,5,55,161,116,36,9,94,79,25,466
Effector memory CD8 T cells,52,17,30,41,44,18,15,13,1,11,3,0,2,0,0,0,0,0,0,0,0,0,12,2,1,0,3,1,0,6,10,17,1,0,0,0,1,3714,26,15,18,5,1,1,0,2,2,0,0,0,1,0,1,1,33,0,0,0,0,0,0,1,0,2,1,10,0,1,2,3,52,12,9,12,9,9,2,4,4,7,2,9,0,6,2,4,5,7,2,0,3,10,19,3574,3052,369,6,6,80,51,6,3,46,4,15,15,22,22,4,2,1,2,3,0,0,6,4,1,0,0,10,0,2,0,6,0,1,0,0,1,0,0,0,2,0,0,7,2,0,0,0,0,12,14,0,12,17,52,18,11,5,0,5,8,12,3,2,3,6,2,0,3,0,0,1,2,1,1,1,0,1,1,0,15,1,1,3,2,1,9,9
M2 TAMs,112,58,114,181,394,822,194,80,4,20,7,3,16,0,14,55,31,26,12,0,39,3,1,12,63,0,298,1,121,152,346,34,34,2,0,35,84,10,181,79,61,0,0,17,40,5,6,4,10,11,0,6,11,3,1,0,8,6,300,10,0,0,0,23,45,56,27,1,11,39,250,42,8,18,151,184,22,1,30,50,278,141,445,202,434,6,240,3,8,5,6,106,38,2,2,3,0,2,7,1,463,279,294,726,1312,296,136,154,72,33,31,142,160,168,32,43,116,132,8,259,61,11,135,119,153,39,94,52,118,132,14,60,60,266,39,133,183,99,45,3,64,43,354,711,84,18,0,0,0,0,0,4,6,43,91,81,8,46,0,132,42,191,66,17,106,26,9,83,17,12,71,17,11,640,76,53,82,227,134,353,266
Mast cells,244,49,137,425,114,177,281,67,1,0,2,0,4,0,2,0,0,1,1,0,0,1,1,0,0,0,7,1,0,12,16,10,4,0,0,0,8,2,63,33,20,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,2,0,0,2,3,70,6,9,5,9,40,10,0,6,4,1,16,1,1,1,3,5,1,1,0,1,12,1,0,1,0,0,0,2,0,9,24,30,19,53,15,25,17,1,7,10,47,4,3,1,2,2,1,0,8,7,2,0,6,12,4,3,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
Monocytes,9,15,90,148,226,44,123,20,0,3,0,0,1,0,0,4,0,2,2,0,4,0,1,0,20,0,51,7,29,31,350,52,45,1,2,4,43,16,262,13,245,3,2,28,9,3,0,1,0,9,1,0,9,10,0,0,0,2,12,2,0,0,0,13,13,27,32,25,4,3,716,46,8,61,131,64,5,0,15,3,0,111,2,0,4,13,105,6,25,17,36,105,27,1,1,0,0,0,0,0,98,209,3018,1183,64,203,149,74,55,20,7,34,75,16,1,2,7,3,0,61,24,1,15,22,21,5,11,8,11,6,0,5,2,44,3,41,51,16,14,2,13,5,48,117,5,23,0,0,0,0,0,0,1,7,22,20,0,0,0,0,0,2,4,0,1,0,2,0,0,0,1,0,7,33,1,6,8,1,4,16,15
NK,49,83,51,721,156,98,135,41,0,4,2,0,5,5,1,0,0,0,0,3,0,1,25,0,0,0,9,4,11,57,1169,43,64,4,7,81,112,1017,14,38,80,10,4,29,51,11,0,14,5,2,4,32,17,28,3,40,1,10,25,4,3,6,23,62,16,48,1,27,29,55,242,212,3,10,25,20,2,23,2,3,1,70,0,2,1,4,13,10,3,15,2,502,12,160,250,15,102,226,113,1,132,8,865,342,179,7,27,18,0,6,17,0,4,0,1,1,0,0,0,2,35,0,0,19,1,1,5,3,1,0,0,0,0,7,1,0,9,11,0,0,0,3,43,29,0,113,16,70,126,14,44,3,11,4,191,94,12,151,20,0,0,5,6,0,0,3,2,0,0,2,1,0,3,15,14,17,15,4,50,21,50
Naive T cells,162,408,42,1083,287,172,383,44,57,33,1,0,156,3,2,8,0,0,0,6,0,1,30,13,2,2,4,34,7,192,405,447,253,9,2,39,85,1222,0,457,9,25,9,38,5,11,4,33,4,45,39,15,26,34,73,3,3,14,112,17,0,84,10,63,106,118,1,64,7,15,613,211,21,36,106,69,1,15,27,15,0,187,0,5,0,15,83,194,3,27,45,82,236,890,148,344,601,1315,73,5,277,734,170,314,139,13,75,43,15,3,0,11,101,7,2,31,3,2,0,3,92,0,20,300,27,14,2,53,2,1,5,0,0,21,12,12,91,11,0,0,0,25,408,1379,47,1024,574,683,279,241,126,10,17,141,534,678,95,114,90,1,5,3,3,2,7,0,6,0,1,3,2,2,7,197,32,19,7,10,4,39,43
Naive-memory CD4 T cells,1480,310,227,403,65,44,69,40,3,25,12,0,397,2,6,7,0,0,2,4,0,0,67,0,0,3,138,5,4,215,701,226,87,6,0,16,27,972,15,205,16,14,43,23,11,12,29,13,3,21,27,19,15,8,79,18,2,7,13,9,2,104,19,33,24,118,2,93,104,27,2945,122,121,279,416,213,3,144,153,66,30,92,0,78,0,283,65,119,2,38,51,175,218,384,676,21,198,101,2216,1153,848,218,735,65,88,6,14,17,15,19,36,6,48,0,0,28,0,0,0,0,326,1,2,30,45,1,6,26,5,0,0,0,0,60,59,194,892,344,48,48,18,43,92,107,2,491,379,441,252,152,260,30,10,67,173,276,122,92,49,20,38,7,16,17,12,21,14,9,3,9,11,46,0,146,28,11,46,2,10,21,71
Plasma B cells,60,20,25,28,17,18,11,11,6,7,3,0,2,0,5,199,2,19,22,0,0,2,0,545,3,19,44,211,7,104,17,219,91,1,1,0,1,53,23,208,119,6,2,0,1,2,31,3,2,15,56,2,13,10,0,0,1,0,0,2,3,5,3,0,5,37,95,3,0,1,460,50,3,22,6,7,0,0,119,197,0,165,1,1,2,1,113,8,24,20,129,151,122,10,28,2,0,0,4,2,37,552,0,0,72,2,1,0,1,3,3,12,55,1,0,6,17,17,1,106,19,0,14,8,119,0,7,2,1,1,1,15,3,9,15,83,793,347,138,7,350,97,99,1256,1,38,15,0,0,0,0,8,1,1,38,2040,84,35,0,32,250,22,116,3,35,25,106,35,12,2,22,84,0,4,1,0,0,5,0,0,14
Pre-exhausted CD8 T cells,0,11,4,6,358,7,56,0,1,50,5,0,12,1,0,0,0,0,0,6,0,0,2,0,0,0,0,6,3,35,3,21,8,1,0,4,1,1066,0,34,1,11,29,16,3,14,0,0,1,36,0,3,19,26,4,6,5,42,6,10,11,15,5,6,40,86,2,9,3,64,111,73,27,61,4,3,0,4,5,15,3,30,0,10,0,5,2,1,0,12,22,107,58,237,11,121,86,107,88,5,8,42,12,7,3,1,0,0,0,0,3,0,0,0,0,0,1,0,1,1,11,0,1,2,1,2,0,0,1,2,0,0,0,4,10,3,15,10,0,0,0,1,11,5,1,78,4,28,178,9,22,0,6,5,67,16,0,39,3,0,5,13,2,0,1,0,1,0,0,0,17,5,14,18,11,16,0,0,5,1,38
Proinflamatory TAMs,0,3,14,101,493,31,326,2,1,4,0,0,7,1,4,5,3,2,1,0,15,0,1,7,23,0,71,7,61,75,49,11,69,0,0,1,9,7,107,17,112,2,0,9,2,0,0,0,2,4,0,0,20,14,0,0,1,2,27,0,1,0,0,12,29,17,29,0,8,14,209,34,3,30,56,190,11,0,10,5,9,75,5,4,3,20,98,1,0,1,162,319,116,0,0,0,0,0,0,0,11,145,230,83,582,16,81,119,2,22,1,59,129,5,3,1,21,41,1,20,0,3,99,39,4,1,10,0,13,28,0,14,27,42,1,31,9,21,27,4,8,6,277,125,2,69,1,0,0,0,0,20,24,129,755,88,7,66,1,40,18,347,44,17,225,43,5,75,7,15,155,31,1,142,15,12,10,11,21,91,10
Proliferative B cells,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,3,0,0,0,0,0,0,41,7,17,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,8,5,0,0,14,0,1,3,0,1,0,0,1,11,0,2,0,0,0,0,1,0,0,1,2,0,5,0,0,0,0,0,0,0,8,17,0,0,1,0,0,0,0,0,23,1,360,6,0,24,6,5,0,1,40,0,0,51,12,0,0,2,0,0,0,2,0,0,16,0,25,10,0,0,1,4,4,10,1,4,0,1,0,0,0,0,0,0,2,3,0,0,0,1,1,0,2,0,0,0,7,0,2,0,3,0,0,0,0,0,0,0,0,0,1
Proliferative T cells,0,7,23,19,66,35,18,15,6,10,3,15,47,1,3,41,7,3,61,2,3,0,10,51,5,14,35,10,21,109,91,68,92,4,5,8,15,1198,15,82,23,30,12,15,14,11,0,4,1,20,0,13,18,19,2,8,4,7,8,9,21,6,2,10,16,29,24,0,7,17,176,173,32,189,83,408,1,10,85,31,14,107,0,28,0,124,79,15,4,55,24,178,76,154,24,205,109,164,122,67,182,275,51,52,15,19,13,14,4,5,5,21,77,9,1,12,7,7,5,40,26,2,5,12,37,14,15,17,13,20,4,27,7,23,33,17,55,207,8,1,6,23,197,255,7,93,24,158,347,273,352,5,0,13,693,183,5,63,34,26,88,34,32,4,12,9,9,10,45,22,33,21,18,65,26,28,70,14,143,33,163
Proliferative monocytes and macrophages,3,1,3,2,3,40,3,1,0,1,0,1,2,1,0,4,1,4,1,0,15,0,0,0,0,0,6,0,4,1,38,6,4,0,0,5,3,1,13,4,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,91,0,0,0,0,1,0,1,1,0,0,1,56,2,2,1,4,3,4,0,2,2,1,4,13,4,9,0,7,0,1,0,2,11,2,0,0,0,0,0,0,0,24,8,5,16,13,4,3,3,1,2,3,19,9,27,4,4,22,6,3,36,13,1,7,11,16,2,4,8,19,38,2,1,21,4,6,3,11,17,3,0,5,8,15,47,6,0,0,0,0,0,0,1,0,0,0,5,0,1,0,18,7,4,2,2,10,1,0,0,3,1,2,3,1,35,1,1,4,29,14,8,12
Recently activated CD4 T cells,1558,656,411,498,318,403,304,459,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,15,0,0,46,6,0,35,126,6,19,0,0,0,2,978,168,52,185,4,10,12,2,0,4,2,1,0,2,0,1,0,9,3,0,4,2,0,2,8,9,3,5,6,0,7,33,4,2162,0,25,42,13,8,1,10,8,0,1,0,0,3,0,55,0,0,0,3,0,31,9,426,1076,42,7,5,515,3555,2,2,141,0,3,7,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,16,81,44,16,9,29,3,5,81,4,17,74,84,29,8,16,26,1,30,28,75,104,21,3,2,16,3,28,1,1,5,11,3,0,1,5,12,0,28,3,1,1,1,0,10,7
Regulatory T cells,18,174,79,85,505,48,59,24,13,25,5,0,44,3,8,29,1,0,7,7,2,2,6,2,0,2,18,85,5,220,117,763,344,26,0,7,16,1404,0,364,69,62,33,10,53,12,4,33,21,52,7,11,50,54,23,17,19,37,118,29,24,41,20,63,38,192,15,14,11,44,197,174,24,55,76,224,0,7,151,136,80,121,1,177,0,75,133,72,1,17,29,98,161,762,383,1150,553,661,709,409,366,1133,95,30,13,1,10,3,1,6,9,12,24,1,0,9,1,0,0,18,19,0,8,38,57,9,17,28,3,5,1,2,2,135,91,65,240,175,20,5,8,48,380,624,15,954,595,391,1116,986,362,31,35,120,345,569,189,217,180,73,119,105,176,28,45,37,48,31,45,17,95,77,16,107,65,11,1,21,39,6,72
SPP1 TAMs,42,30,95,82,239,1696,275,168,0,1,1,0,0,0,0,1,7,6,1,0,0,0,0,0,0,0,14,4,8,7,18,2,5,2,1,20,26,36,130,17,3,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,231,8,4,11,18,47,5,0,3,10,14,49,29,9,22,6,18,2,0,4,10,39,10,2,8,1,0,0,0,0,19,2,276,13,24,48,26,38,11,10,0,110,48,6,1,0,5,14,4,88,8,2,25,22,14,3,18,5,21,14,3,2,10,34,9,139,119,16,22,5,32,12,65,153,8,5,4,0,1,2,4,1,1,4,14,3,1,1,0,15,2,19,14,5,7,1,0,9,4,4,4,1,5,257,52,25,5,185,59,31,106
T helper cells,6,52,11,41,50,20,24,5,0,6,0,0,20,1,0,16,1,0,2,4,1,0,0,3,0,0,6,29,6,40,8,218,67,1,0,2,1,675,1,71,13,85,7,3,31,28,3,16,1,37,2,1,22,51,3,10,9,7,25,2,11,22,3,20,71,85,35,7,2,10,45,91,14,43,58,69,0,2,79,34,2,59,0,5,0,21,62,25,2,4,20,39,34,405,55,223,431,189,92,36,111,284,15,18,10,3,2,2,3,1,5,5,24,1,0,7,2,1,0,24,15,0,2,18,10,3,1,6,0,1,0,1,1,23,19,3,22,30,0,2,1,21,85,81,0,469,320,522,1042,133,779,19,34,117,583,440,16,154,87,2,31,10,17,2,2,7,10,1,7,7,15,8,4,6,42,5,0,4,17,2,41
Terminally exhausted CD8 T cells,2,50,22,30,109,65,29,6,3,4,1,4,33,2,6,10,2,0,4,3,0,0,4,9,0,18,20,70,21,226,18,294,303,1,0,3,3,1534,0,142,42,208,38,4,114,37,5,2,6,160,3,7,269,165,6,70,2,92,70,28,98,25,7,110,45,304,46,21,7,98,212,791,38,251,200,133,0,11,198,85,44,218,0,65,0,367,461,4,0,79,98,172,156,1226,39,992,675,957,669,32,273,119,27,106,14,1,4,2,0,0,5,0,4,0,2,1,0,0,0,12,2,0,2,4,4,3,5,1,13,2,1,7,0,14,21,1,36,284,1,0,6,15,703,1092,4,296,144,1219,1900,750,238,28,8,11,119,149,23,310,251,14,132,84,147,19,31,19,64,5,106,38,98,57,16,100,345,11,0,55,21,3,1217
Th17 cells,20,113,58,173,289,39,53,15,39,45,8,0,270,3,7,4,0,0,2,48,0,1,63,20,1,1,34,5,20,1235,789,27,272,11,0,85,81,1064,0,249,1,173,9,0,151,113,138,4,195,25,8,3,30,4,13,157,71,0,49,2,111,0,18,335,18,249,0,99,14,6,268,51,85,24,53,79,2,29,23,4,2,79,0,3,0,29,52,38,6,7,5,35,46,503,127,235,1715,480,1079,52,56,140,55,21,530,0,7,14,2,3,2,2,38,1,0,2,0,0,0,1,2,1,2,3,3,0,3,2,0,0,0,0,0,0,0,4,9,30,0,3,0,1,16,0,0,459,339,2849,1444,373,81,89,97,345,261,739,798,1065,348,97,598,403,519,77,128,180,623,121,87,41,190,477,0,79,74,5,3,4,6,38,16
Transitional memory CD4 T cells,32,196,40,139,16,10,15,0,0,2,1,0,0,0,0,0,0,0,0,11,0,2,2,1,0,46,15,2,1,58,7,285,13,0,0,2,3,165,5,54,525,18,5,0,3,3,7,6,0,7,3,0,18,3,0,1,0,3,3,1,0,5,5,47,32,40,4,17,0,5,240,49,1,11,11,7,0,2,3,3,6,16,0,4,0,33,12,1,2,3,6,13,23,100,6,257,154,190,44,0,98,4,5,52,92,14,13,14,3,0,0,0,5,0,0,1,0,0,0,0,11,0,1,3,5,0,3,4,1,0,0,0,0,0,0,1,2,119,0,1,2,3,44,143,2,245,84,490,239,35,40,9,1,32,13,33,64,137,12,0,1,1,2,1,0,0,2,0,0,0,1,1,0,20,2,2,1,2,0,1,10
cDC,2,2,12,12,33,19,29,5,0,15,1,0,9,0,0,5,1,0,3,0,3,0,3,6,19,0,54,1,22,13,81,32,42,2,2,3,17,3,52,26,18,5,0,4,5,3,1,0,3,5,0,3,1,6,0,0,0,0,2,0,0,0,0,5,4,9,17,2,3,4,35,8,1,24,20,12,1,0,13,9,0,20,0,0,0,1,26,3,6,8,12,22,4,1,0,0,0,0,0,0,58,62,7,3,59,13,8,10,5,12,3,7,1,0,2,8,12,7,2,11,16,1,1,20,23,5,6,6,3,1,1,3,2,13,2,7,19,6,0,0,1,4,11,34,0,125,0,1,0,0,0,4,9,27,383,103,28,45,0,3,5,12,1,2,7,0,0,5,4,2,3,7,2,12,3,0,1,1,1,2,12
mDC,34,11,124,57,100,86,174,39,0,5,0,0,48,1,4,11,0,3,11,0,10,0,4,17,20,0,114,2,66,39,202,20,26,1,1,11,28,1,140,31,21,8,5,9,2,8,1,0,17,9,0,3,2,6,2,0,4,2,9,0,2,0,0,5,13,32,32,4,5,0,188,28,6,9,79,40,6,0,21,4,0,59,1,0,0,3,68,11,30,28,13,46,10,0,0,0,0,0,0,0,160,255,174,115,453,35,36,41,27,16,6,56,33,39,8,34,70,34,5,100,120,4,18,26,70,25,53,19,16,21,7,0,12,9,9,13,80,11,18,5,27,12,30,64,2,72,0,0,0,0,0,2,39,57,134,199,31,47,0,4,6,26,16,1,6,8,11,7,1,0,13,13,1,93,4,0,2,6,3,17,5
pDC,1,0,1,2,20,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,5,0,0,13,6,13,11,1,0,3,0,0,26,5,3,7,3,1,13,46,0,2,21,19,0,1,2,5,3,0,2,8,4,0,4,0,0,10,19,36,39,5,1,15,47,31,3,16,88,57,0,0,18,1,0,73,0,0,0,5,54,16,35,26,9,22,8,1,0,0,0,0,0,0,28,88,7,24,9,27,49,46,2,3,0,0,2,0,0,1,3,5,0,6,1,0,4,0,2,0,1,0,0,0,0,0,0,6,3,1,6,4,1,2,0,0,7,34,0,169,0,0,0,0,0,0,12,63,531,75,0,24,0,0,4,20,8,3,10,0,3,14,0,0,6,1,0,16,4,1,0,0,1,1,3