cell_type,BC_1,BC_2,BC_3,BC_4,BC_5,BC_6,BC_7,BC_8,LIV1_13,LIV2_1,LIV2_2,LIV2_3,LIV2_4,LIV2_5,LUN1,LUN2,MCO_1,MCO_2,MEL1_25,MEL1_5,MEL2_1,MEL2_10,MEL2_12,MEL2_13,MEL2_14,MEL2_17,MEL2_2,MEL2_23,MEL2_3,MEL2_8,MEL2_9,MEN_1,MEN_2,MEN_3,MLU_1,MLU_2,MLU_3,MLU_4,MLU_5,MLU_6,MRE_1,MRE_2,MRE_3,PAN_12,PAN_2,PAN_22,SC024,SC027,SC035,SC040,SC_1,SC_11,SC_12,SC_13,SC_14,SC_15,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,SMC11,SMC14,SMC15,SMC19,SMC25,UM_2,UM_9
B cells,278,35,98,147,434,111,138,6,150,16,56,110,183,57,102,173,700,1387,4,62,659,100,123,162,26,293,221,4,168,109,38,182,91,11,1,2,4,0,1696,355,50,173,1660,201,1056,181,532,260,237,424,5562,0,5,0,0,0,22,157,49,13,46,0,62,36,273,232,135,12,8
Cytotoxic CD8 T cells,177,852,100,1486,611,344,519,113,70,33,163,549,565,274,1837,5,857,160,158,303,424,768,196,236,232,198,363,124,249,355,432,1624,503,1495,755,2245,1097,42,306,505,1018,2092,153,50,95,104,89,61,516,1145,1058,660,3465,407,601,1098,73,466,602,69,402,343,15,13,0,3,5,161,466
Effector memory CD8 T cells,52,17,30,41,44,18,15,13,2,3,6,10,17,1,3714,26,15,18,0,10,52,12,12,9,9,4,9,4,5,10,19,3574,3052,369,6,6,80,51,6,3,46,4,15,3,10,0,7,2,12,14,12,17,52,18,11,5,8,12,3,2,3,6,0,3,0,1,1,15,9
M2 TAMs,112,58,114,181,394,822,194,80,16,298,152,346,34,34,10,181,79,61,300,56,250,42,18,151,184,30,141,6,240,106,38,2,2,3,0,2,7,1,463,279,294,726,1312,160,61,119,183,99,354,711,18,0,0,0,0,0,43,91,81,8,46,0,42,191,66,9,17,640,266
Mast cells,244,49,137,425,114,177,281,67,4,7,12,16,10,4,2,63,33,20,0,2,70,6,5,9,40,6,16,3,5,12,1,0,1,0,0,0,2,0,9,24,30,19,53,4,7,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,1
Monocytes,9,15,90,148,226,44,123,20,1,51,31,350,52,45,16,262,13,245,12,27,716,46,61,131,64,15,111,13,105,105,27,1,1,0,0,0,0,0,98,209,3018,1183,64,75,24,22,51,16,48,117,23,0,0,0,0,0,7,22,20,0,0,0,0,2,4,2,0,33,15
NK,49,83,51,721,156,98,135,41,5,9,57,1169,43,64,1017,14,38,80,25,48,242,212,10,25,20,2,70,4,13,502,12,160,250,15,102,226,113,1,132,8,865,342,179,4,35,19,9,11,43,29,113,16,70,126,14,44,4,191,94,12,151,20,0,5,6,2,0,15,50
Naive T cells,162,408,42,1083,287,172,383,44,156,4,192,405,447,253,1222,0,457,9,112,118,613,211,36,106,69,27,187,15,83,82,236,890,148,344,601,1315,73,5,277,734,170,314,139,101,92,300,91,11,408,1379,1024,574,683,279,241,126,141,534,678,95,114,90,5,3,3,6,2,197,43
Naive-memory CD4 T cells,1480,310,227,403,65,44,69,40,397,138,215,701,226,87,972,15,205,16,13,118,2945,122,279,416,213,153,92,283,65,175,218,384,676,21,198,101,2216,1153,848,218,735,65,88,48,326,30,892,344,92,107,491,379,441,252,152,260,67,173,276,122,92,49,38,7,16,14,46,146,71
Plasma B cells,60,20,25,28,17,18,11,11,2,44,104,17,219,91,53,23,208,119,0,37,460,50,22,6,7,119,165,1,113,151,122,10,28,2,0,0,4,2,37,552,0,0,72,55,19,8,793,347,99,1256,38,15,0,0,0,0,1,38,2040,84,35,0,250,22,116,106,84,4,14
Pre-exhausted CD8 T cells,0,11,4,6,358,7,56,0,12,0,35,3,21,8,1066,0,34,1,6,86,111,73,61,4,3,5,30,5,2,107,58,237,11,121,86,107,88,5,8,42,12,7,3,0,11,2,15,10,11,5,78,4,28,178,9,22,5,67,16,0,39,3,5,13,2,1,5,18,38
Proinflamatory TAMs,0,3,14,101,493,31,326,2,7,71,75,49,11,69,7,107,17,112,27,17,209,34,30,56,190,10,75,20,98,319,116,0,0,0,0,0,0,0,11,145,230,83,582,129,0,39,9,21,277,125,69,1,0,0,0,0,129,755,88,7,66,1,18,347,44,5,31,142,10
Proliferative B cells,0,0,1,0,0,0,0,0,6,0,1,1,3,0,0,41,7,17,0,0,14,0,3,0,1,1,2,0,1,0,5,0,0,0,0,0,0,0,8,17,0,0,1,360,40,51,25,10,4,10,4,0,1,0,0,0,0,2,3,0,0,0,1,0,2,7,0,0,1
Proliferative T cells,0,7,23,19,66,35,18,15,47,35,109,91,68,92,1198,15,82,23,8,29,176,173,189,83,408,85,107,124,79,178,76,154,24,205,109,164,122,67,182,275,51,52,15,77,26,12,55,207,197,255,93,24,158,347,273,352,13,693,183,5,63,34,88,34,32,9,21,65,163
Proliferative monocytes and macrophages,3,1,3,2,3,40,3,1,2,6,1,38,6,4,1,13,4,1,91,1,56,2,1,4,3,2,4,0,7,11,2,0,0,0,0,0,0,0,24,8,5,16,13,9,13,11,11,17,15,47,0,0,0,0,0,0,0,0,5,0,1,0,7,4,2,0,3,35,12
Recently activated CD4 T cells,1558,656,411,498,318,403,304,459,0,46,35,126,6,19,978,168,52,185,2,6,2162,0,42,13,8,8,0,55,0,31,9,426,1076,42,7,5,515,3555,2,2,141,0,3,1,0,0,81,44,5,81,17,74,84,29,8,16,30,28,75,104,21,3,16,3,28,11,12,28,7
Regulatory T cells,18,174,79,85,505,48,59,24,44,18,220,117,763,344,1404,0,364,69,118,192,197,174,55,76,224,151,121,75,133,98,161,762,383,1150,553,661,709,409,366,1133,95,30,13,24,19,38,240,175,380,624,954,595,391,1116,986,362,120,345,569,189,217,180,119,105,176,48,77,107,72
SPP1 TAMs,42,30,95,82,239,1696,275,168,0,14,7,18,2,5,36,130,17,3,3,0,231,8,11,18,47,3,49,6,18,39,10,2,8,1,0,0,0,0,19,2,276,13,24,48,8,22,119,16,65,153,5,4,0,1,2,4,4,14,3,1,1,0,2,19,14,0,1,257,106
T helper cells,6,52,11,41,50,20,24,5,20,6,40,8,218,67,675,1,71,13,25,85,45,91,43,58,69,79,59,21,62,39,34,405,55,223,431,189,92,36,111,284,15,18,10,24,15,18,22,30,85,81,469,320,522,1042,133,779,117,583,440,16,154,87,31,10,17,10,8,6,41
Terminally exhausted CD8 T cells,2,50,22,30,109,65,29,6,33,20,226,18,294,303,1534,0,142,42,70,304,212,791,251,200,133,198,218,367,461,172,156,1226,39,992,675,957,669,32,273,119,27,106,14,4,2,4,36,284,703,1092,296,144,1219,1900,750,238,11,119,149,23,310,251,132,84,147,64,57,100,1217
Th17 cells,20,113,58,173,289,39,53,15,270,34,1235,789,27,272,1064,0,249,1,49,249,268,51,24,53,79,23,79,29,52,35,46,503,127,235,1715,480,1079,52,56,140,55,21,530,38,2,3,9,30,16,0,459,339,2849,1444,373,81,345,261,739,798,1065,348,598,403,519,623,477,79,16
Transitional memory CD4 T cells,32,196,40,139,16,10,15,0,0,15,58,7,285,13,165,5,54,525,3,40,240,49,11,11,7,3,16,33,12,13,23,100,6,257,154,190,44,0,98,4,5,52,92,5,11,3,2,119,44,143,245,84,490,239,35,40,32,13,33,64,137,12,1,1,2,2,1,20,10
cDC,2,2,12,12,33,19,29,5,9,54,13,81,32,42,3,52,26,18,2,9,35,8,24,20,12,13,20,1,26,22,4,1,0,0,0,0,0,0,58,62,7,3,59,1,16,20,19,6,11,34,125,0,1,0,0,0,27,383,103,28,45,0,5,12,1,0,7,12,12
mDC,34,11,124,57,100,86,174,39,48,114,39,202,20,26,1,140,31,21,9,32,188,28,9,79,40,21,59,3,68,46,10,0,0,0,0,0,0,0,160,255,174,115,453,33,120,26,80,11,30,64,72,0,0,0,0,0,57,134,199,31,47,0,6,26,16,11,13,93,5
pDC,1,0,1,2,20,1,0,0,0,5,13,6,13,11,0,26,5,3,4,36,47,31,16,88,57,18,73,5,54,22,8,1,0,0,0,0,0,0,28,88,7,24,9,2,1,0,6,4,7,34,169,0,0,0,0,0,63,531,75,0,24,0,4,20,8,3,1,16,3